municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Aparecida d'Oeste;paulista;4450;24.86;4122;713;1.9;0.17;0.339;404;131;39;0.977;6.7;5.5;2;1;0.721;24144.9;0.897;3;179.004;29.41;0.806;4.6;0.996;0.131;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Jales/SP - Centro Subregional B (3B);São José do Rio Preto;Jales;São José do Rio Preto;Jales
Paranapuã;paulista;3815;27.16;4112;444;2.3;0.109;0.301;442;136;37;0.984;6.5;5.2;2;1;0.732;31464.84;0.898;1;140.354;;0.885;;0.987;0.057;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Jales/SP - Centro Subregional B (3B);São José do Rio Preto;Jales;São José do Rio Preto;Jales
Álvaro de Carvalho;paulista;4650;30.36;5320;308;2.2;0.059;0.51;424;88;35;0.992;6.3;4.9;2;1;0.688;9698.65;0.899;2;153.662;;0.934;;0.991;0.297;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Marília;Marília;Marília
Cabrália Paulista;paulista;4365;18.19;4222;802;1.9;0.188;0.339;521;328;37;0.975;6.7;4.9;2;2;0.694;17384.78;0.899;1;239.974;;0.86;2.1;0.985;0.393;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Bauru/SP - Capital Regional B (2B);Bauru;Bauru;Bauru;Bauru
Campina do Monte Alegre;paulista;5567;30.09;6088;928;2.8;0.154;0.351;739;224;36;0.975;6.1;5.1;2;1;0.717;19346.32;0.899;2;184.479;;0.931;0.7;0.727;0.062;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Itapetininga/SP - Centro Subregional A (3A);Sorocaba;Itapetininga;Itapetininga;Itapetininga
Santa Maria da Serra;paulista;5413;21.43;6298;1325;2.1;0.215;0.333;733;177;51;0.975;6.4;5.2;3;2;0.686;20632.38;0.899;2;252.621;14.49;0.993;0.2;0.969;0.184;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Piracicaba/SP - Capital Regional C (2C);Campinas;Piracicaba;Piracicaba;Piracicaba
Palestina;paulista;11051;15.89;13285;3310;1.8;0.255;0.301;1170;318;61;0.966;6.2;5.5;3;1;0.732;25047.33;0.899;1;697.701;7.41;0.729;0.2;0.989;0.244;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Flórida Paulista;paulista;12848;24.47;14936;1511;2;0.103;0.4;1038;240;70;0.989;6.8;5.2;3;1;0.715;14009.81;0.9;6;524.138;26.09;0.909;4.7;0.94;0.182;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Adamantina - Lucélia/SP - Centro Subregional B (3B);Presidente Prudente;Adamantina - Lucélia;Presidente Prudente;Adamantina
Riolândia;paulista;10575;16.7;12856;1191;2.2;0.095;0.386;1228;297;76;0.967;6.7;5.3;3;2;0.703;17578.56;0.9;2;631.897;7.94;0.901;0.8;0.997;0.255;Cerrado.Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Riolândia/SP;0;Arranjo Populacional de Votuporanga/SP - Centro Subregional B (3B);São José do Rio Preto;Votuporanga;São José do Rio Preto;Votuporanga
Iacri;paulista;6419;19.9;6269;989;2;0.156;0.311;645;148;50;0.994;6.9;5.3;3;1;0.733;26522.04;0.9;5;321.948;;0.826;3.1;0.999;0.318;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Tupã/SP - Centro Subregional B (3B);Marília;Tupã;Marília;Tupã
Colômbia;paulista;5994;8.22;6223;4854;2.2;0.782;0.354;1015;169;60;0.992;6.8;6;4;1;0.71;44436;0.9;5;728.648;;0.829;;0.985;0.062;Cerrado.Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Planura/MG - Colômbia/SP;0;Barretos - Capital Regional C (2C);Ribeirão Preto;Barretos;Ribeirão Preto;Barretos
Piacatu;paulista;5287;22.75;6093;1004;1.7;0.168;0.275;646;143;41;0.975;7.3;;2;1;0.732;16033.77;0.9;1;232.488;;0.921;0.2;0.963;0.189;Mata Atlântica;Não pertence;Centro Local (5);0;Araçatuba - Capital Regional C (2C);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Inúbia Paulista;paulista;3630;41.53;4045;963;2.3;0.241;0.294;394;73;33;0.983;6.9;5.3;2;1;0.759;33703.63;0.901;1;87.119;29.41;0.952;0.3;1;0.096;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Adamantina - Lucélia/SP;0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Adamantina - Lucélia;Presidente Prudente;Adamantina
Mombuca;paulista;3266;24.43;3523;739;2.3;0.212;0.358;551;114;33;0.978;6.9;5.4;2;1;0.719;28464.8;0.901;2;133.698;;0.829;;0.831;0.238;Mata Atlântica;Não pertence;Centro Local (5);55;Arranjo Populacional de Piracicaba/SP - Capital Regional C (2C);Campinas;Piracicaba;Piracicaba;Piracicaba
Iepê;paulista;7628;12.81;8228;1163;2.3;0.143;0.336;899;244;63;0.979;6;5.4;2;1;0.736;30742.42;0.902;6;594.974;;0.854;3.2;0.95;0.439;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Assis;Assis
Mineiros do Tietê;paulista;12038;56.45;13023;1744;2;0.135;0.29;1359;371;99;0.983;6.5;;5;2;0.73;13627.43;0.902;4;213.242;8.4;0.962;0.9;0.94;0.172;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Jaú - Capital Regional C (2C);Bauru;Jaú;Bauru;Jaú
Boracéia;paulista;4268;34.95;4913;1425;2.5;0.295;0.281;655;160;47;0.993;7;5.6;2;1;0.754;80058.81;0.903;2;122.11;;0.933;0.6;0.987;0.163;Mata Atlântica;Não pertence;Centro Local (5);0;Bariri - Centro de Zona B (4B);Bauru;Jaú;Bauru;Jaú
Poloni;paulista;5395;40.4;6166;1173;1.7;0.194;0.238;701;174;47;0.995;6.6;4.8;4;1;0.766;19752.31;0.905;2;135.12;14.71;0.883;5.9;0.995;0.157;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Nhandeara
Glicério;paulista;4565;16.69;4842;843;1.8;0.175;0.267;467;109;36;0.985;7.2;5.3;3;1;0.735;22427.2;0.905;2;272.8;22.22;0.744;0.2;0.968;0.034;Mata Atlântica;Não pertence;Centro Local (5);0;Araçatuba - Capital Regional C (2C);Araçatuba;Birigui - Penápolis;Araçatuba;Birigui
Guzolândia;paulista;4754;18.86;5346;549;1.9;0.104;0.3;513;149;36;0.853;7.2;5.5;2;1;0.697;13301.42;0.905;1;252.477;18.18;0.852;2.7;0.982;0.338;Mata Atlântica;Não pertence;Centro Local (5);0;Auriflama - Centro de Zona B (4B);Araçatuba;Araçatuba;São José do Rio Preto;Auriflama
Angatuba;paulista;22210;21.61;25724;5118;2.7;0.203;0.31;3018;763;201;0.983;6.9;5.6;14;3;0.719;39905.39;0.905;15;1027.288;15.82;0.846;1.1;0.87;0.351;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Itapetininga/SP - Centro Subregional A (3A);Sorocaba;Itapetininga;Itapetininga;Itapetininga
Macedônia;paulista;3664;11.18;3686;592;2.1;0.16;0.297;370;108;30;0.993;6.8;5.6;2;1;0.74;20360.32;0.906;1;327.567;;0.741;0.3;0.979;0.211;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Fernandópolis/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Fernandópolis;São José do Rio Preto;Fernandópolis
Sandovalina;paulista;3699;8.13;4405;2132;1.6;0.496;0.379;516;132;35;0.982;6.2;4.7;1;1;0.709;84139.34;0.907;2;455.856;;0.677;0.2;0.951;0.013;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Piquerobi;paulista;3537;7.33;3706;445;1.9;0.121;0.357;325;91;25;0.994;7.1;4.7;2;1;0.711;15113.75;0.907;1;482.769;;0.683;0.5;0.989;0.322;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Epitácio-Presidente Venceslau;Presidente Prudente;Presidente Prudente
Tuiuti;paulista;5930;46.8;7058;860;1.8;0.125;0.277;777;190;42;0.973;6.8;6.1;4;1;0.728;20674.24;0.907;2;126.731;;0.38;;0.368;0.275;Mata Atlântica;Não pertence;Centro Local (5);0;Bragança Paulista - Centro Subregional A (3A);Campinas;Bragança Paulista;Macro Metropolitana Paulista;Bragança Paulista
Potim;paulista;19397;436.2;25603;1569;2.1;0.064;0.428;2041;408;101;0.993;6.2;5.1;5;1;0.697;9547.78;0.908;5;44.643;11.49;0.975;;0.577;0.213;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Guaratinguetá/SP;0;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Guaratinguetá;Vale do Paraíba Paulista;Guaratinguetá
Lagoinha;paulista;4841;18.95;4882;927;1.9;0.189;0.358;577;172;38;0.99;6.5;5.6;2;1;0.693;12643.55;0.908;2;255.472;27.03;0.669;;0.626;0.603;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José dos Campos/SP - Capital Regional B (2B);São José dos Campos;Taubaté - Pindamonhangaba;Vale do Paraíba Paulista;Paraibuna/Paraitinga
Motuca;paulista;4290;18.76;4831;679;1.9;0.143;0.392;489;115;34;0.954;6.4;4.7;2;1;0.741;18480.12;0.909;2;228.7;25.64;0.732;;0.974;0.02;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Araraquara/SP - Capital Regional C (2C);Araraquara;Araraquara;Araraquara;Araraquara
Embaúba;paulista;2423;29.15;2446;409;2.1;0.167;0.243;232;65;25;1;7.9;5.8;2;1;0.73;21912.8;0.909;1;83.129;;0.848;0.4;0.94;0.186;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Catanduva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
Narandiba;paulista;4288;11.98;4950;1213;2.9;0.25;0.351;722;160;43;0.989;6.4;4.6;2;1;0.718;31207.78;0.91;4;357.325;13.7;0.713;0.9;0.891;0.076;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Tejupá;paulista;4809;16.23;4452;1067;1.4;0.235;0.329;626;159;48;0.984;5.7;4.9;5;2;0.668;19992.61;0.91;3;296.189;;0.636;3.8;0.804;0.177;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Piraju - Centro de Zona A (4A);Marília;Piraju;Assis;Ourinhos
Nova Guataporanga;paulista;2177;63.81;2333;258;2;0.111;0.287;237;59;28;0.993;6.6;6.2;2;1;0.726;14366.57;0.91;1;34.158;34.48;0.865;2.6;0.979;0.086;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Tupi Paulista/SP;0;Dracena - Centro Subregional B (3B);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Óleo;paulista;2673;13.49;2447;527;2.5;0.211;0.304;317;81;31;0.989;5.4;5;3;1;0.73;37435.98;0.911;3;198.938;;0.653;1.9;0.738;0.375;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Manduri - Centro de Zona B (4B)\. Piraju - Centro de Zona A (4A);Sorocaba;Avaré;Assis;Ourinhos
Quintana;paulista;6004;18.79;6736;1173;2.3;0.177;0.337;728;176;62;0.981;7.3;5.2;3;1;0.732;24182.01;0.911;5;318.937;;0.913;0.5;0.916;0.159;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Pompéia/SP;0;Arranjo Populacional de Marília/SP - Capital Regional C (2C);Marília;Marília;Marília;Tupã
Guapiara;paulista;17998;44.08;16896;2590;1.8;0.151;0.457;2284;683;145;0.967;6.1;5.3;23;7;0.675;19376.17;0.911;9;408.292;25.77;0.418;0.1;0.252;0.077;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Capão Bonito/SP - Centro Subregional B (3B);Sorocaba;Itapeva;Itapetininga;Capão Bonito
Cunha;paulista;21866;15.54;21373;2640;2;0.123;0.411;2363;663;184;0.98;6.3;5.2;37;5;0.684;12293.97;0.912;8;1407.25;4.33;0.524;0.8;0.431;0.326;Mata Atlântica;Não pertence;Centro Local (5);2680;Arranjo Populacional de Guaratinguetá/SP - Capital Regional C (2C);São José dos Campos;Guaratinguetá;Vale do Paraíba Paulista;Paraibuna/Paraitinga
Buritizal;paulista;4053;15.21;4547;1950;3.3;0.435;0.31;520;101;29;0.994;;;2;1;0.735;38103.35;0.912;1;266.42;;0.893;0.2;0.996;0.901;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Ituverava - Centro de Zona A (4A);Ribeirão Preto;Ituverava;Ribeirão Preto;Ituverava
Taquarivaí;paulista;5151;22.22;5968;1243;2;0.212;0.406;868;395;43;0.994;6.7;5.3;4;2;0.679;39001.74;0.913;2;231.792;;0.605;1.9;0.457;0.04;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Itapeva - Centro Subregional A (3A);Sorocaba;Itapeva;Itapetininga;Itapeva
Ouro Verde;paulista;7800;29.15;8676;790;2;0.092;0.329;1022;277;58;0.973;6.8;4.7;3;1;0.692;13588.3;0.914;3;266.778;20.83;0.655;1.8;0.292;0.042;Mata Atlântica;Não pertence;Centro Local (5);0;Dracena - Centro Subregional B (3B);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Santa Mercedes;paulista;2831;16.96;2947;372;1.8;0.127;0.331;336;80;31;0.988;6.9;4.8;2;1;0.739;18910.24;0.914;2;166.753;;0.721;3.7;0.909;0.038;Mata Atlântica;Não pertence;Centro Local (5);0;Dracena - Centro Subregional B (3B);Presidente Prudente;Dracena;Presidente Prudente;Dracena
Itobi;paulista;7546;54.2;7862;1034;1.8;0.132;0.282;806;160;66;0.986;6.7;5.1;5;1;0.717;17662.02;0.914;1;138.986;10.53;0.919;0.1;0.976;0.341;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;São José do Rio Pardo - Centro Subregional B (3B);Campinas;São José do Rio Pardo - Mococa;Campinas;São João da Boa Vista
João Ramalho;paulista;4150;9.99;4577;387;2.3;0.086;0.328;549;110;39;0.994;7.4;5.7;2;1;0.741;28099.01;0.914;1;415.452;;0.848;1.4;0.967;0.229;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Restinga;paulista;6587;26.8;7762;1460;2.2;0.192;0.325;1028;303;58;0.986;6.5;4.3;2;1;0.705;23329.23;0.915;3;245.746;16.95;0.87;0.3;0.968;0.236;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Franca/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Franca;Ribeirão Preto;Franca
Taquaral;paulista;2726;50.58;2815;490;2;0.174;0.29;281;83;21;0.982;6.4;5.1;2;1;0.759;13720.59;0.915;1;53.892;;0.957;0.4;0.984;0.382;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Bebedouro - Centro Subregional B (3B);Ribeirão Preto;Barretos;Ribeirão Preto;Jaboticabal
Riversul;paulista;6163;15.96;5364;655;1.9;0.119;0.434;770;194;56;0.959;6.3;5.5;5;2;0.664;12199.31;0.916;1;385.878;13.16;0.723;0.3;0.654;0.101;Mata Atlântica;Não pertence;Centro Local (5);0;Itaporanga - Centro de Zona B (4B)\. Itararé - Centro Subregional B (3B);Sorocaba;Itapeva;Itapetininga;Itapeva
Itaoca;paulista;3228;17.64;3332;334;2.4;0.1;0.474;432;138;45;0.988;6;5.6;5;3;0.68;12719.25;0.916;1;183.015;;0.351;0.3;0.888;0.175;Mata Atlântica;Não pertence;Centro Local (5);297;Apiaí - Centro de Zona B (4B);Sorocaba;Itapeva;Itapetininga;Capão Bonito
Marapoama;paulista;2633;23.66;3097;1551;2;0.512;0.263;324;76;24;0.994;7.8;5.5;2;1;0.752;57888.43;0.917;1;111.267;27.03;0.842;0.7;0.776;0.186;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Catanduva/SP;0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;Catanduva;São José do Rio Preto;Novo Horizonte
Boa Esperança do Sul;paulista;13645;19.75;15111;2891;1.8;0.194;0.321;1681;392;127;0.96;5.4;4.4;5;1;0.681;21523.19;0.919;6;690.748;;0.96;0.2;0.985;0.023;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Araraquara/SP - Capital Regional C (2C);Araraquara;Araraquara;Araraquara;Araraquara
Guareí;paulista;14565;25.72;19244;2769;1.8;0.15;0.435;1433;335;88;0.963;6.3;5.1;6;1;0.687;12213.37;0.92;3;567.884;20.83;0.596;0.1;0.691;0.159;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Itapetininga/SP - Centro Subregional A (3A);Sorocaba;Itapetininga;Itapetininga;Itapetininga
Caiabu;paulista;4072;16.11;4195;408;1.9;0.097;0.335;388;106;35;0.989;6.5;5;3;1;0.729;13974.78;0.921;2;253.352;20.41;0.753;1;0.927;0.078;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Euclides da Cunha Paulista;paulista;9585;16.66;9280;870;1.8;0.093;0.399;1024;312;95;0.985;6.7;5;10;4;0.704;14501.68;0.921;7;573.894;9.8;0.62;0.5;0.997;0.202;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Prudente/SP - Capital Regional C (2C);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Mirassolândia;paulista;4295;25.85;4966;685;2.1;0.141;0.319;499;124;32;0.969;7.1;5.1;3;1;0.738;35456.5;0.922;1;166.125;;0.999;;0.978;0.002;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José do Rio Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Areiópolis;paulista;10579;123.35;11186;1447;2.1;0.13;0.307;1314;315;69;0.973;6.4;5.2;4;1;0.695;12748.13;0.922;4;85.907;7.75;0.989;;0.993;0.001;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Botucatu - Centro Subregional A (3A)\. Lençóis Paulista - Centro Subregional B (3B);Bauru;Botucatu;Bauru;Bauru
Indiaporã;paulista;3903;13.96;3876;567;2.1;0.145;0.311;420;80;40;0.985;7;6.4;3;1;0.751;23427.52;0.922;2;279.606;;0.877;1.3;0.982;0.494;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Fernandópolis/SP - Centro Subregional A (3A);São José do Rio Preto;Fernandópolis;São José do Rio Preto;Fernandópolis
Sete Barras;paulista;13005;12.24;12731;1228;2.1;0.096;0.422;1974;502;127;0.961;6;4.2;13;3;0.673;25297.39;0.923;3;1062.699;15.23;0.755;;0.546;0.13;Mata Atlântica;Não pertence;Centro Local (5);437;Registro - Centro Subregional B (3B);Sorocaba;Registro;Litoral Sul Paulista;Registro
Serra Azul;paulista;11256;39.75;15292;1001;2;0.068;0.47;1310;338;85;0.969;5.5;4.8;6;2;0.686;11829.76;0.923;3;283.144;34.78;0.904;0.1;0.902;0.185;Cerrado.Mata Atlântica;Não pertence;Capital Regional A (2A) - Município integrante do Arranjo Populacional de Ribeirão Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
Bento de Abreu;paulista;2674;8.87;3028;810;3;0.272;0.321;326;73;21;0.979;7.3;5.1;2;1;0.744;40570.27;0.923;3;301.687;;0.978;0.3;0.992;0.084;Mata Atlântica;Não pertence;Centro Local (5) - Município integrante do Arranjo Populacional de Valparaíso/SP;0;Araçatuba - Capital Regional C (2C);Araçatuba;Araçatuba;Araçatuba;Araçatuba
Salmourão;paulista;4818;27.96;5372;418;1.8;0.079;0.337;511;125;43;0.983;6.3;5.2;2;1;0.719;15147.76;0.923;1;172.934;;0.891;1;0.966;0.091;Mata Atlântica;Não pertence;Centro Local (5);0;Osvaldo Cruz - Centro de Zona A (4A);Presidente Prudente;Adamantina - Lucélia;Presidente Prudente;Adamantina
Ariranha;paulista;8547;64.19;9851;3291;3;0.34;0.29;842;203;62;0.996;7.4;5.8;3;1;0.733;76951.4;0.923;2;132.624;16.67;0.955;0.2;0.988;0.273;Mata Atlântica;Não pertence;Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Santa Adélia - Palmares Paulista - Ariranha/SP;0;Arranjo Populacional de Catanduva/SP - Capital Regional C (2C);São José do Rio Preto;Catanduva;São José do Rio Preto;Catanduva
São José da Bela Vista;paulista;8406;30.35;8991;811;1.9;0.091;0.318;1028;278;68;0.979;5.8;4.5;2;1;0.693;19225.79;0.924;3;276.952;;0.919;0.1;0.965;0.267;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Franca/SP - Capital Regional C (2C);Ribeirão Preto;Franca;Ribeirão Preto;Franca
Pongaí;paulista;3481;18.99;3385;611;2.1;0.179;0.308;346;109;27;0.974;6.7;4.7;2;1;0.755;21514.53;0.924;1;183.399;;0.947;;0.984;0.205;Mata Atlântica;Não pertence;Centro Local (5);0;Lins - Centro Subregional B (3B);Bauru;Lins;Bauru;Bauru
Marabá Paulista;paulista;4812;5.24;6039;526;2.4;0.09;0.522;401;96;43;0.99;6.4;5.4;3;1;0.677;17957.64;0.924;2;919.519;26.32;0.566;1.3;0.879;0.028;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Presidente Venceslau/SP - Centro de Zona A (4A);Presidente Prudente;Presidente Epitácio-Presidente Venceslau;Presidente Prudente;Presidente Prudente
Ribeirão do Sul;paulista;4446;21.83;4537;651;2.3;0.143;0.308;515;148;42;0.99;6.7;5.3;2;1;0.747;34783.8;0.925;1;203.208;17.54;0.682;;0.993;0.31;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Ourinhos/SP - Centro Subregional A (3A);Marília;Ourinhos;Assis;Ourinhos
Monteiro Lobato;paulista;4120;12.38;4739;696;1.9;0.15;0.33;580;129;45;0.965;5.9;5.5;4;1;0.71;13995.28;0.925;2;332.742;;0.504;;0.935;0.477;Mata Atlântica;Não pertence;Capital Regional B (2B) - Município integrante do Arranjo Populacional de São José dos Campos/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);São José dos Campos;São José dos Campos;Vale do Paraíba Paulista;Campos do Jordão
Irapuã;paulista;7275;28.21;8101;1219;1.8;0.153;0.257;815;177;51;0.979;6.8;5.7;2;1;0.713;20098.62;0.925;3;257.612;21.98;0.903;1;0.953;0.158;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;Novo Horizonte
Platina;paulista;3192;9.77;3606;478;2.7;0.135;0.357;410;93;32;0.985;6.3;;2;1;0.719;25599.98;0.925;2;327.48;25;0.797;0.6;0.96;0.056;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Assis - Centro Subregional A (3A);Marília;Assis;Assis;Assis
Alfredo Marcondes;paulista;3891;32.86;4201;945;1.9;0.227;0.292;389;120;28;0.986;6.9;5;1;1;0.741;20861.37;0.927;1;118.915;25;0.844;0.2;0.828;0.311;Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Presidente Prudente/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Presidente Prudente;Presidente Prudente;Presidente Prudente;Presidente Prudente
Sarutaiá;paulista;3622;25.58;3623;594;1.7;0.163;0.306;452;112;31;0.987;6.4;5.1;2;1;0.688;18239.99;0.927;1;141.608;;0.927;4.3;0.973;0.474;Mata Atlântica;Não pertence;Centro Local (5);0;Piraju - Centro de Zona A (4A);Marília;Piraju;Assis;Ourinhos
Altair;paulista;3815;12.16;4211;711;2.5;0.171;0.323;441;123;36;0.96;6.3;4.8;2;1;0.687;21796.89;0.928;3;313.007;;0.997;0.2;0.831;0;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Ribeirão Corrente;paulista;4273;28.81;4786;601;2.2;0.127;0.281;621;168;39;1;6.6;5.1;2;1;0.711;30744.46;0.928;2;148.332;16.39;0.786;0.2;0.995;0.259;Cerrado.Mata Atlântica;Não pertence;Capital Regional C (2C) - Município integrante do Arranjo Populacional de Franca/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Franca;Ribeirão Preto;Franca
Timburi;paulista;2646;13.45;2647;391;2.2;0.147;0.308;269;76;23;0.997;6.5;5.4;2;1;0.71;18678.26;0.928;1;196.79;;0.767;1.5;0.97;0.443;Mata Atlântica;Não pertence;Centro Local (5);0;Piraju - Centro de Zona A (4A);Marília;Piraju;Assis;Ourinhos
Planalto;paulista;4463;15.38;5370;2066;2.6;0.395;0.332;552;166;35;0.992;6.3;4.1;2;1;0.719;25801.1;0.929;1;289.825;;0.994;0.8;0.974;0.092;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
