municipio;gentilico;populacao_ultimo_senso;densidade_demografica;populacao_estimada;pessoal_ocupado;salario_medio_mensal_trabalhadores_formais;populacao_ocupada;perc_pop_rend_per_capta_meio_sm;matriculas_ensino_fundamental;matriculas_ensino_medio;docentes_ensino_fundamental;tx_escolarizacao_16_14;IDEB_anos_iniciais_ef;IDEB_anos_finais_ef;escolas_ensino_fundamental;escolas_ensino_medio;idhm;pib_per_capta;perc_receitas_fontes_externas;qt_estabelecimentos_saude_sus;area_unidade_territorial;mortalidade_infantil;esgotamento_sanitario_adequado;internacoes_por_diarreia;arborizavao_vias_publixas;urbanizacao_vias_publicas;bioma;sistema_costeiro_marinho;hierarquia_urbana;populacao_exposta_risco;regiao_influencia;regiao_intermediaria;regiao_imediata;mesorregiao;microrregiao
Engenheiro Coelho;paulista;15721;142.99;21712;4721;2.6;0.227;0.31;2640;827;150;0.985;6.3;5;7;2;0.732;25567.45;0.755;5;109.941;18.05;0.877;0.1;0.892;0.08;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Campinas/SP - Metrópole (1C);Campinas;Limeira;Campinas;Mogi Mirim
Potirendaba;paulista;15449;45.12;17668;5793;2.8;0.334;0.265;2052;465;109;0.98;7;5.9;4;2;0.747;26416.74;0.756;7;342.492;18.87;0.896;1.5;0.935;0.192;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de São José do Rio Preto/SP - Capital Regional B (2B);São José do Rio Preto;São José do Rio Preto;São José do Rio Preto;São José do Rio Preto
Monte Azul Paulista;paulista;18931;71.86;18928;5396;2.2;0.284;0.292;1908;415;141;0.986;7;5.3;8;2;0.753;29747.43;0.758;9;263.462;15;0.924;7.6;0.974;0.233;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Bebedouro - Centro Subregional B (3B);Ribeirão Preto;Barretos;Ribeirão Preto;Jaboticabal
Taiaçu;paulista;5894;55.27;6346;714;2.1;0.113;0.297;606;131;54;0.978;6.7;5;3;1;0.71;14875.81;0.759;1;107.059;;0.912;0.2;0.995;0.217;Mata Atlântica;Não pertence;Centro Local (5);0;Bebedouro - Centro Subregional B (3B)\. Jaboticabal - Centro Subregional B (3B);Ribeirão Preto;Barretos;Ribeirão Preto;Jaboticabal
Borborema;paulista;14529;26.31;16278;3316;1.9;0.207;0.271;1462;406;94;0.983;6.5;5.3;7;1;0.73;25499.23;0.759;8;552.256;7.35;0.924;0.8;0.987;0.054;Mata Atlântica;Não pertence;Centro Local (5);0;Arranjo Populacional de Bauru/SP - Capital Regional B (2B)\. Ibitinga - Centro Subregional B (3B)\. Itápolis - Centro de Zona A (4A)\. Novo Horizonte - Centro de Zona A (4A);Araraquara;Araraquara;Araraquara;Araraquara
Taquarituba;paulista;22291;49.71;23292;5667;2;0.244;0.342;2956;875;202;0.978;7;5.6;14;8;0.701;35061.88;0.759;8;448.515;16.84;0.897;1.4;0.922;0.218;Cerrado.Mata Atlântica;Não pertence;Centro de Zona B (4B);0;Avaré - Centro Subregional B (3B);Sorocaba;Avaré;Itapetininga;Itapeva
Jardinópolis;paulista;37661;74.99;45544;10241;2.4;0.231;0.33;5723;1512;287;0.971;5.6;4.5;15;6;0.735;27213.46;0.76;14;501.87;5.49;0.984;0.1;0.978;0.058;Cerrado.Mata Atlântica;Não pertence;Capital Regional A (2A) - Município integrante do Arranjo Populacional de Ribeirão Preto/SP;0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Ribeirão Preto;Ribeirão Preto;Ribeirão Preto;Ribeirão Preto
Mairinque;paulista;43223;205.53;47723;11105;2.3;0.236;0.343;6795;1910;346;0.969;6;5;21;6;0.743;36310.82;0.762;16;210.149;6.13;0.811;0.1;0.743;0.416;Mata Atlântica;Não pertence;Centro Subregional B (3B) - Município integrante do Arranjo Populacional de São Roque - Mairinque/SP;714;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Sorocaba;Macro Metropolitana Paulista;Sorocaba
Itapeva;paulista;87753;48.05;95241;22516;2;0.239;0.373;12454;3503;546;0.984;7;5.6;44;16;0.732;30822.88;0.762;37;1826.258;10.19;0.844;1.6;0.668;0.247;Cerrado.Mata Atlântica;Não pertence;Centro Subregional A (3A);0;Arranjo Populacional de São Paulo/SP - Grande Metrópole Nacional (1A);Sorocaba;Itapeva;Itapetininga;Itapeva
Coronel Macedo;paulista;5001;16.45;4591;739;1.7;0.158;0.381;497;128;35;0.991;6.4;5.3;2;1;0.69;18563.77;0.763;3;303.83;19.61;0.766;0.4;0.956;0.082;Cerrado.Mata Atlântica;Não pertence;Centro Local (5);0;Taquarituba - Centro de Zona B (4B);Sorocaba;Avaré;Itapetininga;Itapeva
